imagePath,imagesBinary,name,folio,description,classification,mei,review,dob,project
[],[],C clef,001r,clef.c,clef.c,"<clef shape=""C""/>",No,,5d39e8755fbd53216a2fa442
[],[],F Clef,001r,,clef.f,"<clef shape=""F""/>",No,,5d39e8755fbd53216a2fa442
[],[],Custos,001r,,custos,<custos/>,No,,5d39e8755fbd53216a2fa442
,,Divisio,001r,,divisio,<divLine/>,,,
,,Flat,001r,,accidental.flat,"<accid accid=""f""/>",,,
,,Natural,001r,,accidental.natural,"<accid accid=""n""/>",,,
[],[],Punctum,001r,,neume.punctum,"<neume>

    <nc/>

</neume>",No,,5d39e8755fbd53216a2fa442
[],[],Inclinatum,001r,,neume.inclinatum,"<neume>

   <nc tilt=""se""/> 

</neume>",No,,5d39e8755fbd53216a2fa442
,,Virga,001r,,neume.virga,"<neume>

    <nc tilt=""s""/>

</neume>",,,
,,Reverse virga,001r,,neume.reversevirga,"<neume>

    <nc tilt=""n""/>

</neume>",,,
,,Upwards liquescent,001r,,neume.liquescent.up,"<neume>

    <nc curve=""a"">

        <liquescent/>

    </nc>

</neume>",<neume>,,
,,Downwards liquescent,001r,,neume.liquescent.down,"<neume>

    <nc curve=""c"">

        <liquescent/>

    </nc>

</neume>",,,
[],[],Podatus 2,001r,,neume.podatus2,"<neume>

    <nc/>

    <nc intm=""1S""/>

</neume>",No,,5d39e8755fbd53216a2fa442
[],[],Podatus 3,001r,,neume.podatus3,"<neume>

    <nc/>

    <nc intm=""2S""/>

</neume>",No,,5d39e8755fbd53216a2fa442
[],[],Podatus 4,001r,,neume.podatus4,"<neume>

    <nc/>

    <nc intm=""3S""/>

</neume>",No,,5d39e8755fbd53216a2fa442
,,Clivis 2,001r,,neume.clivis2,"<neume>

    <nc tilt=""n""/>

    <nc intm=""-1S""/>

</neume>",,,
,,Clivis 3,001r,,neume.clivis3,"<neume>

    <nc tilt=""n""/>

    <nc intm=""-2S""/>

</neume>",,,
,,Clivis 4,001r,,neume.clivis4,"<neume>

    <nc tilt=""n""/>

    <nc intm=""-3S""/>

</neume>",,,
,,Clivis 5,001r,,neume.clivis5,"<neume>

    <nc tilt=""n""/>

    <nc intm=""-4S""/>

</neume>",,,
[],[],Oblique 2,001r,,neume.oblique2,"<neume>

    <nc ligated=""true""/>

    <nc ligated=""true"" intm=""-1S""/>

</neume>",No,,5d39e8755fbd53216a2fa442
[],[],Oblique 3,001r,,neume.oblique3,"<neume>

    <nc ligated=""true""/>

    <nc ligated=""true"" intm=""-2S""/>

</neume>",No,,5d39e8755fbd53216a2fa442
[],[],Oblique 4,001r,,neume.oblique4,"<neume>

    <nc ligated=""true""/>

    <nc ligated=""true"" intm=""-3S""/>

</neume>",No,,5d39e8755fbd53216a2fa442
[],[],Torculus22,001r,,neume.torculus22,"<neume>

    <nc/>

    <nc intm=""1S""/>

    <nc intm=""-1S""/>

</neume>",No,,5d39e8755fbd53216a2fa442
,,Torculus23,001r,,neume.torculus23,"<neume>

    <nc/>

    <nc intm=""1S""/>

    <nc intm=""-2S""/>

</neume>",,,
,,Torculus24,001r,,neume.torculus24,"<neume>

    <nc/>

    <nc intm=""1S""/>

    <nc intm=""-3S""/>

</neume>",,,
,,Torculus32,001r,,neume.torculus32,"<neume>

    <nc/>

    <nc intm=""2S""/>

    <nc intm=""-1S""/>

</neume>",,,
,,Torculus33,001r,,neume.torculus33,"<neume>

    <nc/>

    <nc intm=""2S""/>

    <nc intm=""-2S""/>

</neume>",,,
,,Torculus34,001r,,neume.torculus34,"<neume>

    <nc/>

    <nc intm=""2S""/>

    <nc intm=""-3S""/>

</neume>",,,
,,Torculus42,001r,,neume.torculus42,"<neume>

    <nc/>

    <nc intm=""3S""/>

    <nc intm=""-1S""/>

</neume>",,,
,,Torculus43,001r,,neume.torculus43,"<neume>

    <nc/>

    <nc intm=""3S""/>

    <nc intm=""-2S""/>

</neume>",,,
,,Scandicus 22,001r,,neume.scandicus22,"<neume>

    <nc/>

    <nc intm=""1S""/>

    <nc intm=""1S""/>

</neume>",,,
,,Scandicus 23,001r,,neume.scandicus23,"<neume>

    <nc/>

    <nc intm=""1S""/>

    <nc intm=""2S""/>

</neume>",,,
,,Scandicus 33,001r,,neume.scandicus33,"<neume>

    <nc/>

    <nc intm=""2S""/>

    <nc intm=""2S""/>

</neume>",,,
